学习目标,痛点,详细内容
Goroutine的调度原理,Goroutine和线程的区别,Goroutine 的实现、GPM 调度模型、调度状态及流转、调度原理、协作式抢占以及和网络库的协作
内存模型,Go的内存分配机制,Go 内存分配的内部结构和分配机制
GC的原理,GC三色标记算法,Go GC 介绍、三色标记的实现原理、GC 的流程以及 GC 的一些优化方案
channel的消息通讯原理,channel底层实现,Go channel 的通讯机制、环形队列的结构、调度和唤醒的原理
