学习目标,痛点,详细内容
dns,清楚在线服务的全链路,DNS 的原理、防劫持的方法、HTTPDNS + IP 长连接
cdn,,CDN 的系统架构、应用领域以及保证数据一致性的方法
深入理解 4/7 层负载均衡的原理,,LVS、Nginx 4/7 层负载均衡的原理和实践
数据 Sharding 的设计原则,Sharding 的应用场景，合理的使用,架构设计中的数据分片设计，如：分库分表、多活的 Shard 设计等等
Hash 分片的算法和演进,各种变种 Hash 算法的使用场景,分片算法的 Hash 实现和演进：Hash 求余、一致性 Hash、有界负载一致性 Hash、节点映射
